State,Year,Category,E-Waste Generated (Tonnes),E-Waste Collected (Tonnes),Collection Rate (%),Recycled (Tonnes),Recycling Efficiency (%),Hazardous Waste (Tonnes),Region
Maharashtra,2018,Computers & Peripherals,"4,092.50",772.1,0.189,516.3,0.669,582.4,West
Maharashtra,2018,Mobile Phones & Tablets,"3,804.30",881.3,0.232,725.3,0.823,489.6,West
Maharashtra,2018,Television & Monitors,"2,649.40",500.6,0.189,327.7,0.655,451.8,West
Maharashtra,2018,Refrigerators & AC,"2,233.60",447,0.2,340.8,0.762,389.8,West
Maharashtra,2018,Washing Machines,"1,343.40",303.5,0.226,243.5,0.802,162.1,West
Maharashtra,2018,Printers & Scanners,"1,352.50",315.2,0.233,215.9,0.685,183.3,West
Maharashtra,2018,Batteries & Cells,"1,797.80",376.1,0.209,234.4,0.623,233.1,West
Maharashtra,2018,Lighting Equipment,975.1,221.2,0.227,177.4,0.802,188.2,West
Maharashtra,2019,Computers & Peripherals,"4,433.80","1,265.80",0.285,879.3,0.695,776.8,West
Maharashtra,2019,Mobile Phones & Tablets,"4,311.90","1,116.30",0.259,910.3,0.815,766.4,West
Maharashtra,2019,Television & Monitors,"3,144.10",678.9,0.216,446,0.657,468.3,West
Maharashtra,2019,Refrigerators & AC,"2,515.10",578.4,0.23,361.6,0.625,371.7,West
Maharashtra,2019,Washing Machines,"1,650.50",395.9,0.24,274.2,0.693,232.6,West
Maharashtra,2019,Printers & Scanners,"1,320.40",373.3,0.283,284.5,0.762,238.9,West
Maharashtra,2019,Batteries & Cells,"1,656.30",442.5,0.267,283.6,0.641,261.6,West
Maharashtra,2019,Lighting Equipment,"1,116.40",290.8,0.26,215,0.739,210.4,West
Maharashtra,2020,Computers & Peripherals,"4,671.60","1,062.30",0.227,698.2,0.657,575.6,West
Maharashtra,2020,Mobile Phones & Tablets,"3,750.20",732.7,0.195,478.3,0.653,803.6,West
Maharashtra,2020,Television & Monitors,"3,208.80",636.4,0.198,486.1,0.764,512,West
Maharashtra,2020,Refrigerators & AC,"3,020.10",626.4,0.207,417.3,0.666,436.9,West
Maharashtra,2020,Washing Machines,"1,592.70",310.7,0.195,231.8,0.746,334.1,West
Maharashtra,2020,Printers & Scanners,"1,340.20",257.7,0.192,218.9,0.849,229.1,West
Maharashtra,2020,Batteries & Cells,"1,592.40",289,0.181,181.3,0.627,291,West
Maharashtra,2020,Lighting Equipment,"1,049.80",215.3,0.205,132.6,0.616,166,West
Maharashtra,2021,Computers & Peripherals,"5,051.90","1,375.90",0.272,"1,159.60",0.843,"1,041.10",West
Maharashtra,2021,Mobile Phones & Tablets,"3,622.80","1,042.90",0.288,803.5,0.77,629.3,West
Maharashtra,2021,Television & Monitors,"2,905.70",817.7,0.281,513.4,0.628,475,West
Maharashtra,2021,Refrigerators & AC,"2,840.90",871.5,0.307,713.7,0.819,415.7,West
Maharashtra,2021,Washing Machines,"1,641.80",400.6,0.244,331.8,0.828,339.9,West
Maharashtra,2021,Printers & Scanners,"1,366.90",384.4,0.281,289.2,0.752,184.9,West
Maharashtra,2021,Batteries & Cells,"1,963.20",536.3,0.273,426.2,0.795,339.7,West
Maharashtra,2021,Lighting Equipment,903,230.9,0.256,139.7,0.605,192.3,West
Maharashtra,2022,Computers & Peripherals,"5,097.50","1,681.40",0.33,"1,138.10",0.677,641.2,West
Maharashtra,2022,Mobile Phones & Tablets,"4,633.40","1,576.40",0.34,979.6,0.621,781.2,West
Maharashtra,2022,Television & Monitors,"2,856.60",924,0.323,731.3,0.791,379.5,West
Maharashtra,2022,Refrigerators & AC,"2,956.00",900,0.304,599.6,0.666,612.6,West
Maharashtra,2022,Washing Machines,"1,667.90",457.1,0.274,335.9,0.735,321.9,West
Maharashtra,2022,Printers & Scanners,"1,380.20",390.7,0.283,331.6,0.849,255.3,West
Maharashtra,2022,Batteries & Cells,"1,883.20",567.9,0.302,357.9,0.63,268.3,West
Maharashtra,2022,Lighting Equipment,"1,020.70",314.3,0.308,206.7,0.658,145,West
Maharashtra,2023,Computers & Peripherals,"4,333.80","1,486.40",0.343,976.9,0.657,912.4,West
Maharashtra,2023,Mobile Phones & Tablets,"4,771.10","1,371.80",0.288,904.7,0.659,891.7,West
Maharashtra,2023,Television & Monitors,"3,068.10",900.8,0.294,751.2,0.834,543.4,West
Maharashtra,2023,Refrigerators & AC,"3,054.20","1,093.90",0.358,877.2,0.802,424.7,West
Maharashtra,2023,Washing Machines,"1,586.90",512.8,0.323,362,0.706,264.5,West
Maharashtra,2023,Printers & Scanners,"1,621.70",563,0.347,476.3,0.846,210.6,West
Maharashtra,2023,Batteries & Cells,"1,930.20",606.3,0.314,494.4,0.815,279.6,West
Maharashtra,2023,Lighting Equipment,"1,016.40",330.2,0.325,232.9,0.705,150.3,West
Tamil Nadu,2018,Computers & Peripherals,"2,895.10",717.8,0.248,510.2,0.711,596.8,South
Tamil Nadu,2018,Mobile Phones & Tablets,"2,833.80",539.4,0.19,458.4,0.85,577,South
Tamil Nadu,2018,Television & Monitors,"2,336.40",579.8,0.248,470.9,0.812,319.2,South
Tamil Nadu,2018,Refrigerators & AC,"1,953.20",392.8,0.201,275.1,0.7,245.8,South
Tamil Nadu,2018,Washing Machines,"1,087.50",274.1,0.252,182.6,0.666,215.8,South
Tamil Nadu,2018,Printers & Scanners,969.4,208.3,0.215,174.8,0.839,212.8,South
Tamil Nadu,2018,Batteries & Cells,"1,276.90",299.3,0.234,191.2,0.639,191.1,South
Tamil Nadu,2018,Lighting Equipment,778.7,175.4,0.225,129,0.735,151.7,South
Tamil Nadu,2019,Computers & Peripherals,"3,055.40",783.1,0.256,568.3,0.726,627.2,South
Tamil Nadu,2019,Mobile Phones & Tablets,"2,852.50",811.7,0.285,503.3,0.62,395.3,South
Tamil Nadu,2019,Television & Monitors,"2,384.20",627.4,0.263,413.3,0.659,314.7,South
Tamil Nadu,2019,Refrigerators & AC,"2,379.40",549.6,0.231,411.4,0.749,432.9,South
Tamil Nadu,2019,Washing Machines,"1,219.10",312.4,0.256,228.3,0.731,260.2,South
Tamil Nadu,2019,Printers & Scanners,"1,010.60",269,0.266,177.5,0.66,161.3,South
Tamil Nadu,2019,Batteries & Cells,"1,456.20",342.2,0.235,232.4,0.679,284.2,South
Tamil Nadu,2019,Lighting Equipment,697.3,172.1,0.247,146.2,0.85,153.1,South
Tamil Nadu,2020,Computers & Peripherals,"3,013.40",578.4,0.192,385.4,0.666,642.8,South
Tamil Nadu,2020,Mobile Phones & Tablets,"3,331.00",779.1,0.234,539.4,0.692,452.3,South
Tamil Nadu,2020,Television & Monitors,"2,472.30",550.9,0.223,414.8,0.753,540.7,South
Tamil Nadu,2020,Refrigerators & AC,"2,215.30",396.5,0.179,318.9,0.804,332.2,South
Tamil Nadu,2020,Washing Machines,"1,268.70",301.5,0.238,191,0.633,166.9,South
Tamil Nadu,2020,Printers & Scanners,967.5,206.4,0.213,137.9,0.668,174.6,South
Tamil Nadu,2020,Batteries & Cells,"1,445.10",276.5,0.191,209.7,0.758,211.6,South
Tamil Nadu,2020,Lighting Equipment,760.9,179.2,0.236,145.4,0.811,98.3,South
Tamil Nadu,2021,Computers & Peripherals,"3,446.80",868.3,0.252,521.7,0.601,679.4,South
Tamil Nadu,2021,Mobile Phones & Tablets,"3,297.00",826.6,0.251,649.1,0.785,577.5,South
Tamil Nadu,2021,Television & Monitors,"2,352.50",541.7,0.23,335.2,0.619,490.1,South
Tamil Nadu,2021,Refrigerators & AC,"2,451.00",670.8,0.274,542.4,0.809,436.9,South
Tamil Nadu,2021,Washing Machines,"1,169.00",280.4,0.24,189.8,0.677,245.4,South
Tamil Nadu,2021,Printers & Scanners,"1,196.60",358,0.299,295.3,0.825,168.7,South
Tamil Nadu,2021,Batteries & Cells,"1,350.10",321.1,0.238,255.3,0.795,281.4,South
Tamil Nadu,2021,Lighting Equipment,780.1,218.3,0.28,139.4,0.639,166.2,South
Tamil Nadu,2022,Computers & Peripherals,"3,952.40","1,355.10",0.343,"1,087.70",0.803,822.7,South
Tamil Nadu,2022,Mobile Phones & Tablets,"2,927.20",940.5,0.321,642.4,0.683,623.7,South
Tamil Nadu,2022,Television & Monitors,"2,657.70",884.4,0.333,709.9,0.803,389.8,South
Tamil Nadu,2022,Refrigerators & AC,"2,472.30",654.5,0.265,535.4,0.818,508.9,South
Tamil Nadu,2022,Washing Machines,"1,233.60",405.2,0.328,289.7,0.715,185.7,South
Tamil Nadu,2022,Printers & Scanners,"1,238.40",341.2,0.275,206.7,0.606,172.5,South
Tamil Nadu,2022,Batteries & Cells,"1,425.50",474.4,0.333,399.3,0.842,210.8,South
Tamil Nadu,2022,Lighting Equipment,854,248.5,0.291,210.1,0.845,148.3,South
Tamil Nadu,2023,Computers & Peripherals,"4,153.70","1,212.50",0.292,"1,021.70",0.843,572.6,South
Tamil Nadu,2023,Mobile Phones & Tablets,"3,795.20","1,164.30",0.307,730.1,0.627,620.3,South
Tamil Nadu,2023,Television & Monitors,"2,702.50",842,0.312,632.8,0.752,462.5,South
Tamil Nadu,2023,Refrigerators & AC,"2,325.30",785,0.338,521,0.664,443.8,South
Tamil Nadu,2023,Washing Machines,"1,203.00",447.7,0.372,328.9,0.735,230.9,South
Tamil Nadu,2023,Printers & Scanners,"1,265.00",438.8,0.347,303.2,0.691,160.7,South
Tamil Nadu,2023,Batteries & Cells,"1,597.80",500.4,0.313,339.5,0.678,327.2,South
Tamil Nadu,2023,Lighting Equipment,899,278.9,0.31,188.9,0.677,144.6,South
Karnataka,2018,Computers & Peripherals,"2,793.00",576.8,0.207,364.4,0.632,452.6,South
Karnataka,2018,Mobile Phones & Tablets,"2,874.80",666.1,0.232,550,0.826,521.9,South
Karnataka,2018,Television & Monitors,"1,856.80",414.4,0.223,248.7,0.6,276.1,South
Karnataka,2018,Refrigerators & AC,"1,789.40",403.1,0.225,307.8,0.764,297.9,South
Karnataka,2018,Washing Machines,"1,025.60",206.3,0.201,148.2,0.718,215.5,South
Karnataka,2018,Printers & Scanners,974.7,193.2,0.198,120,0.621,167.2,South
Karnataka,2018,Batteries & Cells,"1,207.30",252.5,0.209,203.2,0.805,235.6,South
Karnataka,2018,Lighting Equipment,677,136.6,0.202,88.8,0.65,82.9,South
Karnataka,2019,Computers & Peripherals,"2,980.20",739.5,0.248,600.8,0.812,379.3,South
Karnataka,2019,Mobile Phones & Tablets,"2,826.70",734.2,0.26,476.2,0.649,536,South
Karnataka,2019,Television & Monitors,"2,161.60",498.9,0.231,381.2,0.764,260.6,South
Karnataka,2019,Refrigerators & AC,"2,141.90",578.9,0.27,362.8,0.627,348.1,South
Karnataka,2019,Washing Machines,"1,064.60",302.7,0.284,220.8,0.729,133.1,South
Karnataka,2019,Printers & Scanners,949.3,262.1,0.276,187.2,0.714,190,South
Karnataka,2019,Batteries & Cells,"1,350.90",387.2,0.287,290,0.749,290.4,South
Karnataka,2019,Lighting Equipment,789.3,204,0.258,159.1,0.78,134.6,South
Karnataka,2020,Computers & Peripherals,"3,364.70",716.7,0.213,590.8,0.824,654,South
Karnataka,2020,Mobile Phones & Tablets,"2,816.80",548.8,0.195,363.2,0.662,517.6,South
Karnataka,2020,Television & Monitors,"2,261.10",477.9,0.211,361.6,0.757,333.4,South
Karnataka,2020,Refrigerators & AC,"1,782.60",350.3,0.197,234,0.668,270.9,South
Karnataka,2020,Washing Machines,"1,144.50",214.3,0.187,141,0.658,216.8,South
Karnataka,2020,Printers & Scanners,"1,041.00",190,0.183,133.4,0.702,181.4,South
Karnataka,2020,Batteries & Cells,"1,249.50",239.3,0.192,168.7,0.705,263,South
Karnataka,2020,Lighting Equipment,722.8,160.7,0.222,130.8,0.814,142.1,South
Karnataka,2021,Computers & Peripherals,"3,166.80",728.3,0.23,501,0.688,618.6,South
Karnataka,2021,Mobile Phones & Tablets,"3,215.40",986.3,0.307,695.1,0.705,626.2,South
Karnataka,2021,Television & Monitors,"2,247.60",625.6,0.278,409.9,0.655,319,South
Karnataka,2021,Refrigerators & AC,"2,042.80",473.6,0.232,324,0.684,383.9,South
Karnataka,2021,Washing Machines,"1,158.40",281.3,0.243,201.6,0.717,153.8,South
Karnataka,2021,Printers & Scanners,"1,067.80",247.4,0.232,172.8,0.698,188.4,South
Karnataka,2021,Batteries & Cells,"1,182.40",332.9,0.282,211,0.634,196.5,South
Karnataka,2021,Lighting Equipment,661,172,0.26,112.3,0.653,100.9,South
Karnataka,2022,Computers & Peripherals,"3,586.40","1,036.90",0.289,817.1,0.788,728.7,South
Karnataka,2022,Mobile Phones & Tablets,"2,885.60",757.1,0.262,457.9,0.605,501.9,South
Karnataka,2022,Television & Monitors,"2,577.10",738.3,0.286,563,0.763,510.6,South
Karnataka,2022,Refrigerators & AC,"2,225.80",718.7,0.323,601.8,0.837,311.5,South
Karnataka,2022,Washing Machines,"1,085.90",291.8,0.269,184.3,0.632,203,South
Karnataka,2022,Printers & Scanners,"1,090.30",299.4,0.275,232,0.775,214.5,South
Karnataka,2022,Batteries & Cells,"1,270.50",393.4,0.31,309.6,0.787,167,South
Karnataka,2022,Lighting Equipment,825.8,282.3,0.342,177,0.627,101.2,South
Karnataka,2023,Computers & Peripherals,"3,331.70","1,158.00",0.348,972.2,0.84,532,South
Karnataka,2023,Mobile Phones & Tablets,"3,335.70",960.8,0.288,742.4,0.773,609.5,South
Karnataka,2023,Television & Monitors,"2,151.70",768.1,0.357,624.1,0.813,387.4,South
Karnataka,2023,Refrigerators & AC,"2,018.50",762.8,0.378,606.9,0.796,312.3,South
Karnataka,2023,Washing Machines,"1,247.00",395.5,0.317,287.3,0.726,192.2,South
Karnataka,2023,Printers & Scanners,"1,203.30",435.5,0.362,272.8,0.626,260,South
Karnataka,2023,Batteries & Cells,"1,473.80",534.3,0.363,415.1,0.777,241,South
Karnataka,2023,Lighting Equipment,837.5,315,0.376,210.3,0.668,168.2,South
Delhi,2018,Computers & Peripherals,"3,552.20",777.6,0.219,551.2,0.709,685.9,North
Delhi,2018,Mobile Phones & Tablets,"3,022.10",735,0.243,593.6,0.808,388.8,North
Delhi,2018,Television & Monitors,"2,619.80",532.1,0.203,381.1,0.716,474.3,North
Delhi,2018,Refrigerators & AC,"2,174.90",410.8,0.189,333.9,0.813,300.5,North
Delhi,2018,Washing Machines,"1,191.60",285.6,0.24,195.7,0.685,247.9,North
Delhi,2018,Printers & Scanners,"1,174.10",241,0.205,145.2,0.602,252.2,North
Delhi,2018,Batteries & Cells,"1,296.80",304.1,0.235,219.6,0.722,253.9,North
Delhi,2018,Lighting Equipment,836.6,192.1,0.23,138.8,0.723,166.7,North
Delhi,2019,Computers & Peripherals,"3,525.60",807.8,0.229,624.4,0.773,531,North
Delhi,2019,Mobile Phones & Tablets,"3,621.50",898.1,0.248,658.1,0.733,588.7,North
Delhi,2019,Television & Monitors,"2,821.20",669.5,0.237,519.3,0.776,415,North
Delhi,2019,Refrigerators & AC,"2,338.10",518,0.222,335.7,0.648,308.5,North
Delhi,2019,Washing Machines,"1,433.00",386.4,0.27,249.7,0.646,203,North
Delhi,2019,Printers & Scanners,"1,238.50",330.5,0.267,279,0.844,213.6,North
Delhi,2019,Batteries & Cells,"1,515.20",333.4,0.22,216.2,0.648,216.3,North
Delhi,2019,Lighting Equipment,819.7,175.1,0.214,128.4,0.733,120.8,North
Delhi,2020,Computers & Peripherals,"4,273.50",911.8,0.213,706.1,0.774,566.8,North
Delhi,2020,Mobile Phones & Tablets,"3,796.40",795.1,0.209,650.5,0.818,673.5,North
Delhi,2020,Television & Monitors,"2,596.80",535.6,0.206,346,0.646,325,North
Delhi,2020,Refrigerators & AC,"2,700.10",563.2,0.209,453.7,0.806,432.2,North
Delhi,2020,Washing Machines,"1,252.60",273.3,0.218,167.6,0.613,169,North
Delhi,2020,Printers & Scanners,"1,239.20",244.9,0.198,207.8,0.849,163.4,North
Delhi,2020,Batteries & Cells,"1,669.20",361.7,0.217,288.5,0.798,238,North
Delhi,2020,Lighting Equipment,876.7,181.4,0.207,128.9,0.711,180.6,North
Delhi,2021,Computers & Peripherals,"4,484.70","1,140.20",0.254,861.1,0.755,811.6,North
Delhi,2021,Mobile Phones & Tablets,"3,858.20","1,181.60",0.306,770.3,0.652,544.4,North
Delhi,2021,Television & Monitors,"2,841.30",688.2,0.242,442.8,0.643,362.3,North
Delhi,2021,Refrigerators & AC,"2,248.80",598.2,0.266,447.7,0.748,335.4,North
Delhi,2021,Washing Machines,"1,365.20",391.5,0.287,303.7,0.776,225.8,North
Delhi,2021,Printers & Scanners,"1,334.20",406,0.304,323.6,0.797,243.5,North
Delhi,2021,Batteries & Cells,"1,705.10",520.3,0.305,367.5,0.706,297.5,North
Delhi,2021,Lighting Equipment,944.3,286.2,0.303,230.9,0.807,120.1,North
Delhi,2022,Computers & Peripherals,"3,820.60","1,080.00",0.283,850.2,0.787,675.9,North
Delhi,2022,Mobile Phones & Tablets,"3,584.40",954.1,0.266,736.7,0.772,680.9,North
Delhi,2022,Television & Monitors,"3,132.90",940,0.3,680,0.723,401.1,North
Delhi,2022,Refrigerators & AC,"2,351.30",691,0.294,470.3,0.681,341,North
Delhi,2022,Washing Machines,"1,362.30",465.3,0.342,376.4,0.809,241.8,North
Delhi,2022,Printers & Scanners,"1,464.60",505.2,0.345,388,0.768,215.2,North
Delhi,2022,Batteries & Cells,"1,511.70",488.4,0.323,350.5,0.718,279.9,North
Delhi,2022,Lighting Equipment,"1,038.30",281.7,0.271,210.2,0.746,190.5,North
Delhi,2023,Computers & Peripherals,"4,285.90","1,240.90",0.29,852.5,0.687,657.2,North
Delhi,2023,Mobile Phones & Tablets,"4,063.40","1,484.80",0.365,"1,013.30",0.682,769.5,North
Delhi,2023,Television & Monitors,"2,779.20","1,039.60",0.374,835.2,0.803,486.4,North
Delhi,2023,Refrigerators & AC,"2,703.20",842.4,0.312,573.5,0.681,586.6,North
Delhi,2023,Washing Machines,"1,525.70",505.7,0.331,428.3,0.847,283.4,North
Delhi,2023,Printers & Scanners,"1,380.40",443.7,0.321,287,0.647,215.6,North
Delhi,2023,Batteries & Cells,"1,864.90",638.6,0.342,504.5,0.79,261.7,North
Delhi,2023,Lighting Equipment,987.5,367.7,0.372,260.9,0.71,187.5,North
Uttar Pradesh,2018,Computers & Peripherals,"2,400.10",603,0.251,453.6,0.752,345.4,North
Uttar Pradesh,2018,Mobile Phones & Tablets,"2,203.20",492.1,0.223,363.2,0.738,284.9,North
Uttar Pradesh,2018,Television & Monitors,"2,012.70",497.6,0.247,356,0.715,265.2,North
Uttar Pradesh,2018,Refrigerators & AC,"1,813.90",398.9,0.22,310.8,0.779,310,North
Uttar Pradesh,2018,Washing Machines,907.8,219.8,0.242,185.7,0.845,131.1,North
Uttar Pradesh,2018,Printers & Scanners,850.3,180.5,0.212,149.9,0.83,145.3,North
Uttar Pradesh,2018,Batteries & Cells,"1,178.30",287.5,0.244,192.4,0.669,234.5,North
Uttar Pradesh,2018,Lighting Equipment,587.8,146.2,0.249,106.3,0.727,118.8,North
Uttar Pradesh,2019,Computers & Peripherals,"2,777.70",652.5,0.235,487.2,0.747,610.8,North
Uttar Pradesh,2019,Mobile Phones & Tablets,"2,657.40",594.3,0.224,436.6,0.735,410.6,North
Uttar Pradesh,2019,Television & Monitors,"2,022.90",512.3,0.253,365.7,0.714,307.8,North
Uttar Pradesh,2019,Refrigerators & AC,"1,725.50",456.9,0.265,339.5,0.743,247.4,North
Uttar Pradesh,2019,Washing Machines,"1,136.10",245.1,0.216,192.7,0.786,216.5,North
Uttar Pradesh,2019,Printers & Scanners,"1,002.10",242,0.241,185.4,0.766,202.5,North
Uttar Pradesh,2019,Batteries & Cells,"1,337.10",333.8,0.25,203.4,0.609,227.6,North
Uttar Pradesh,2019,Lighting Equipment,680.4,189,0.278,154.7,0.819,111.6,North
Uttar Pradesh,2020,Computers & Peripherals,"2,895.50",600.2,0.207,468.5,0.781,466.2,North
